time_ms,ir,ax,ay,az,gx,gy,gz,label
86843,111087,-10,31,29,5794,10399,-11326,S
86940,111025,21,16,2,5730,10465,-10990,S
87022,110978,5,11,-8,5905,10421,-11256,S
87104,110891,11,-8,9,5667,10339,-11120,S
87186,110989,-39,1,-8,5758,10310,-11342,S
87283,110868,-2,-16,-16,5519,10221,-11338,S
87365,110815,49,7,3,6363,10345,-10881,S
87447,110785,78,3,-21,5601,10149,-11448,S
87529,111069,129,-23,-56,5347,9623,-11417,S
87626,111251,-81,-24,5,7716,10875,-10682,S
87708,111040,-73,-24,4,5704,9907,-11373,S
87790,111010,49,37,4,5858,10005,-11391,S
87872,111070,73,2,-16,6562,10506,-11068,S
87969,110897,26,6,-13,5682,10296,-11377,S
88051,110820,22,5,-19,5822,10089,-11590,S
88133,110765,39,-2,-13,5753,10410,-11335,S
88215,110842,58,19,-6,5744,9995,-11577,S
88314,110988,25,8,-22,5790,10012,-11518,S
88396,111118,-17,-8,-3,5645,10017,-11635,S
88478,111076,-15,-7,-4,5738,10034,-11549,S
88575,111281,19,10,3,5798,9987,-11772,S
88657,111463,32,8,-12,5836,10070,-11459,S
88739,111671,21,5,-2,5672,10089,-11640,S
88821,111599,19,-15,10,5481,10102,-11628,S
88918,111483,7,-11,5,5762,10004,-11381,S
89000,111526,-13,0,-11,5814,10077,-11639,S
89082,111631,-25,2,-9,5763,10208,-11489,S
89164,111688,20,0,-4,5604,10041,-11458,S
89263,111979,63,-42,-2,5397,9902,-10702,S
89345,112146,-95,-78,-16,5587,10154,-12138,S
89427,112318,-50,15,-13,5497,9870,-11662,S
89524,113075,1,-25,-23,5532,10057,-11647,S
89606,113259,-32,-29,-2,5425,10200,-11768,S
89688,112071,7,-30,2,5616,9924,-11504,S
89770,111261,-17,2,-4,5405,10081,-11769,S
89867,111034,-16,-10,4,5393,10152,-11620,S
89949,110963,10,-11,-5,5445,10151,-11483,S
90031,110940,-19,-8,1,5488,10119,-11593,S
90113,110966,-43,-14,-7,5433,10204,-11779,S
90212,110958,-79,-18,-18,5279,10242,-11564,S
90294,110826,-76,10,-13,4869,10145,-11463,S
90376,110671,-48,-41,6,5303,10297,-11499,S
90473,110559,-44,-7,30,5569,10321,-11425,S
90555,110513,0,7,-8,5396,10534,-11240,S
90637,110518,5,18,-1,5308,10316,-11283,S
90719,110445,-68,-25,26,4979,10628,-11514,S
90816,110383,-141,-63,-6,5352,10505,-11324,S
90898,110435,-52,-20,-17,5367,10552,-11128,S
90980,110545,-44,-41,12,5120,10705,-11318,S
91062,110818,7,42,-1,5222,10627,-11521,S
91161,111563,10,12,-1,5288,10910,-11033,S
91243,112016,-46,-39,-12,5360,10719,-11254,S
91325,111773,-16,-37,-11,5178,10756,-11188,S
91422,111611,-10,24,12,5323,10579,-11107,S
91504,111821,42,18,-5,5296,10838,-11002,S
91586,112017,8,-22,-2,5340,10902,-11228,S
91668,112059,8,-4,-14,5242,10744,-11127,S
91765,111926,28,-6,-42,4890,10416,-11629,S
91847,111870,39,20,-1,5202,10708,-11066,S
91929,112203,90,14,-4,5275,10725,-11249,S
92011,112606,38,-19,2,5274,10667,-11257,S
92093,112212,3,-15,2,5329,10629,-11405,S
92190,111884,-5,8,8,5183,10455,-11338,S
92272,111926,-20,7,0,5283,10472,-11188,S
92354,111894,1,3,11,5168,10521,-11404,S
92436,111779,-1,-2,12,5364,10514,-11378,S
92533,111710,-12,-8,-6,5111,10635,-11298,S
92615,111707,-28,-4,6,5170,10534,-11431,S
92697,111625,-7,3,3,5568,10582,-11276,S
92779,111636,-13,3,-3,5195,10589,-11335,S
92876,111509,-4,-11,-5,5312,10582,-11376,S
92958,111253,-4,-9,-4,4997,10769,-11331,S
93040,111174,1,19,-15,5323,10621,-11229,S
93122,111050,-13,6,16,5063,10580,-11209,S
93219,110983,-6,0,4,5289,10736,-11257,S
93301,110953,-23,-5,-21,5315,10593,-11228,S
93383,110912,-4,7,2,5195,10620,-11051,S
93465,110986,-10,4,6,5419,10660,-11314,S
93564,110979,-10,-7,0,5091,10375,-11005,S
93646,111152,18,34,-10,5241,10644,-11443,S
93728,111457,-6,-52,11,5253,11215,-10885,S
93825,111017,-69,-44,13,5338,10731,-11249,S
93907,110839,8,54,11,5358,10380,-11207,S
93989,111160,33,20,-11,5174,10986,-11111,S
94071,111276,-42,-41,0,5234,10578,-11404,S
94168,111031,13,-3,-4,5266,10494,-11211,S
94250,111019,19,17,3,5338,10598,-10943,S
94332,111159,15,15,-1,5322,10829,-11115,S
94414,111083,-4,-16,-9,5277,10857,-11194,S
94513,111003,6,3,11,5175,10427,-11197,S
94595,111073,28,19,1,5264,10721,-11169,S
94677,111232,-11,-13,1,5325,10705,-11097,S
94774,111252,-24,-12,2,5199,10692,-11039,S
94856,111206,-4,17,7,5397,10660,-11210,S
94938,111269,-12,0,6,5458,10634,-11284,S
95020,111259,-6,-12,-7,5298,10593,-11123,S
95117,111209,-3,0,-4,5221,10586,-11193,S
95199,111208,-6,1,4,5333,10587,-11082,S
95281,111261,-6,-1,3,5209,10707,-11243,S
95363,111286,-11,-10,-8,5405,10817,-11167,S
95462,111227,3,-5,-5,5311,10625,-11229,S
95544,111299,-3,1,3,5279,10708,-11084,S
95626,111324,-5,-8,1,5226,10813,-11119,S
95723,111240,-6,1,7,5197,10650,-11183,S
95805,111187,4,8,0,5237,10661,-11230,S
95887,111246,-2,-8,7,5408,10644,-11209,S
95969,111300,-12,-12,-4,5402,10687,-11003,S
96066,111285,3,-1,-4,5323,10585,-11121,S
96148,111305,-3,-2,9,5355,10810,-11092,S
96230,111310,-6,-8,5,5305,10678,-11060,S
96312,111324,8,3,2,5246,10529,-11151,S
96409,111204,-10,-1,5,5331,10724,-11093,S
96491,111289,-1,-3,1,5321,10666,-11245,S
96573,111318,3,-7,-1,5408,10824,-11026,S
96655,111374,-13,-5,1,5320,10669,-11177,S
96737,111390,-7,-2,4,5350,10698,-11195,S
96834,111411,-8,-4,-10,5409,10823,-11201,S
96916,111472,-14,-14,6,5271,10693,-11063,S
96998,111425,-5,3,2,5308,10541,-11154,S
97080,111420,7,-1,3,5307,10666,-11238,S
97177,111449,-16,-5,4,5302,10700,-11147,S
97259,111498,-2,0,7,5223,10628,-11136,S
97341,111488,-1,-1,-10,5222,10682,-11330,S
97423,111491,-5,-4,-3,5343,10683,-10867,S
97520,111501,7,8,-1,5409,10674,-11185,S
97602,111510,-3,-11,5,5405,10737,-11007,S
97684,111451,-5,-7,-14,5382,10829,-10956,S
97766,111448,7,-3,6,5256,10815,-11160,S
97863,111509,4,-8,-2,5273,10795,-11046,S
97945,111512,3,-3,-2,5254,10670,-11070,S
98027,111550,0,-1,-1,5282,10622,-11138,S
98109,111555,-6,-9,-5,5244,10675,-10992,S
98208,111608,-5,-3,-6,5334,10667,-11289,S
98290,111619,6,-4,5,5293,10592,-11061,S
98372,111511,-6,4,0,5411,10724,-11065,S
98469,111528,14,0,-2,5150,10693,-11045,S
98551,111536,-2,-6,0,5351,10848,-11146,S
98633,111535,5,-4,3,5326,10624,-10958,S
98715,111522,-9,-9,-4,4881,10639,-11140,S
98812,111521,-13,-16,-5,5188,10817,-11038,S
98894,111371,-6,-6,1,5251,10736,-11202,S
98976,111343,-6,-2,-2,5314,10811,-11076,S
99058,111248,8,-2,-3,5177,10636,-11019,S
99157,111226,-7,1,7,5255,10691,-11186,S
99239,111262,-5,-8,5,5263,10574,-10976,S
99321,111295,-3,-2,-1,5300,10674,-11025,S
99418,111303,7,0,3,5259,10793,-11042,S
99500,111299,-4,-5,-3,5332,10774,-11138,S
99582,111288,-1,-4,4,5267,10763,-11083,S
99664,111315,4,-6,7,5261,10858,-11105,S
99761,111253,1,-8,-1,5223,10718,-11147,S
99843,111273,-1,1,1,5260,10815,-11092,S
99925,111310,-3,-2,-1,5095,10768,-11170,S
100007,111349,-8,-1,-1,5241,10810,-11131,S
100106,111345,-10,-3,2,5340,10714,-11194,S
100188,111391,1,-3,-4,5133,10615,-11008,S
100270,111403,9,2,1,5360,10546,-11156,S
100367,111455,-10,-6,-3,5265,10698,-11233,S
100449,111389,-1,-5,10,5383,10786,-11009,S
100531,111327,1,-5,7,5171,10791,-11024,S
100613,111365,-14,0,4,5430,10799,-11095,S
100710,111445,-4,3,9,5186,10736,-11103,S
100792,111415,-7,-9,-10,5433,10756,-11086,S
100874,111431,-1,-5,0,5201,10665,-11163,S
100956,111433,-6,-2,2,5227,10688,-11090,S
101055,111478,-17,0,6,5280,10729,-11042,S
101137,111457,-3,-3,-1,5346,10726,-11092,S
101219,111470,-14,-4,-2,5363,10866,-11082,S
101316,111503,-10,-1,4,5242,10760,-11044,S
101398,111427,-1,-4,-3,5303,10617,-11128,S
101480,111413,0,-2,0,5311,10667,-11033,S
101562,111476,-7,-1,9,5340,10774,-11024,S
101659,111541,-3,-5,1,5268,10702,-10952,S
101741,111527,3,-3,2,5334,10857,-11029,S
101823,111526,-1,-2,5,5463,10630,-11098,S
101905,111536,-10,-1,-5,5359,10810,-10994,S
102004,111546,-1,-8,-3,5294,10983,-11093,S
102086,111577,-8,-4,-5,5296,10724,-11006,S
102168,111578,-3,0,3,5206,10656,-11093,S
102265,111594,-5,-1,3,5292,10798,-10925,S
102347,111483,-8,-5,-3,5216,10823,-10899,S
102429,111455,-1,-12,4,5239,10810,-11058,S
102511,111503,-2,-3,-2,5288,10791,-11036,S
102608,111541,21,-7,3,5412,10602,-10916,S
102690,111529,-3,-2,0,5216,10754,-11108,S
102772,111546,-2,-4,4,5347,10818,-10976,S
102854,111574,3,1,1,5300,10766,-11046,S
102953,111617,8,-3,-5,5325,10807,-11035,S
103035,111619,5,0,-2,5242,10633,-10999,S
103117,111612,6,-9,-5,5428,10799,-11091,S
103214,111556,7,-5,3,5363,10693,-10908,S
103296,111520,-6,6,1,5240,10785,-11130,S
103378,111563,-9,0,9,5302,10768,-11131,S
103460,111589,4,-3,2,5284,10707,-11067,S
103557,111628,3,-4,-1,5315,10788,-11094,S
103639,111615,-1,3,-6,5387,10811,-11156,S
103721,111651,-5,-12,-1,5420,10721,-11044,S
103803,111690,-5,-13,-9,5303,10812,-10932,S
103902,111675,-8,1,-3,5226,10759,-10975,S
103984,111718,-1,-4,2,5295,10791,-11011,S
104066,111625,0,-4,13,5238,10768,-11124,S
104163,111632,-3,-5,11,5311,10702,-11075,S
104245,111668,3,-3,-3,5229,10759,-11085,S
104327,111680,-9,-4,1,5299,10730,-11008,S
104409,111706,-1,-3,4,5328,10822,-11061,S
104506,111722,-8,-10,2,5279,10609,-11052,S
104588,111770,2,-5,-7,5371,10819,-10984,S
104670,111770,-1,-2,-1,5319,10710,-11066,S
104752,111683,2,-8,-4,5179,10725,-11041,S
104851,111660,12,0,0,5295,10616,-10969,S
104933,111680,-5,-3,-8,5183,10695,-11111,S
105015,111679,7,-4,-4,5173,10773,-11091,S
105112,111677,15,-8,-1,5354,10800,-11126,S
105194,111668,-3,-7,-6,5324,10766,-10977,S
105276,111680,-5,-16,-8,5268,10790,-11063,S
105358,111646,2,3,6,5274,10717,-11180,S
105455,111580,-9,1,0,5122,10826,-10954,S
105537,111609,-6,-7,1,5199,10829,-10956,S
105619,111635,-1,-12,7,5247,10851,-10976,S
105701,111662,-7,9,5,5323,10848,-10979,S
105800,111665,-7,1,6,5322,10848,-11090,S
105882,111717,-3,-5,6,5295,10759,-11222,S
105964,111731,-3,-2,4,5285,10800,-11156,S
106061,111655,-4,-1,1,5269,10695,-10823,S
106143,111637,-7,0,3,5401,10775,-10925,S
106225,111673,-4,-2,-1,5289,10861,-10993,S
106307,111716,6,3,7,5308,10851,-11057,S
106404,111733,-2,0,-2,5205,10828,-10976,S
106486,111737,-1,-1,4,5284,10835,-11030,S
106568,111756,-5,-1,1,5356,10793,-11005,S
106650,111798,-8,-13,2,5304,10834,-10875,S
106749,111705,-4,1,7,5332,10752,-10907,S
106831,111720,0,-5,-2,5398,10745,-11016,S
106913,111734,-8,-5,3,5263,10657,-11039,S
107010,111819,0,-6,-4,5342,10682,-11026,S
107092,111799,-7,0,-2,5358,10807,-11150,S
107174,111819,-3,-9,-3,5196,10803,-10938,S
107256,111840,0,-4,3,5329,10803,-11036,S
107353,111855,-3,3,3,5338,10737,-11077,S
107435,111871,5,-2,0,5267,10784,-10970,S
107517,111887,-1,1,2,5276,10876,-11040,S
107599,111912,-15,-4,5,5404,10804,-11023,S
107698,111943,-14,-12,3,5239,10763,-11162,S
107780,111866,10,-29,-11,5017,10752,-11083,S
107862,111867,15,-3,2,5201,10770,-11028,S
107959,111927,-1,2,3,5202,10841,-10963,S
108041,111936,1,-6,-2,5388,10868,-11080,S
108123,111940,3,-4,8,5274,10769,-11116,S
108205,111952,-6,9,0,5284,10632,-10845,S
108302,111977,9,-4,7,5339,10675,-11001,S
108384,111991,1,-8,1,5284,10807,-11118,S
108466,111966,0,-6,21,5222,10724,-11062,S
108548,111996,0,-7,10,5281,10815,-11039,S
108630,112011,1,2,6,5266,10763,-11004,S
108727,111994,-1,0,-1,5297,10835,-10940,S
108809,111901,7,1,1,5284,10810,-11025,S
108891,111890,0,-2,6,5150,10819,-10990,S
108973,111927,-9,-2,-1,5320,10785,-11143,S
109070,111925,-5,-12,5,5305,10734,-10980,S
109152,111961,5,0,-1,5270,10786,-10964,S
109234,111963,-2,-7,2,5285,10858,-11000,S
109316,111971,-3,-10,11,5279,10812,-11142,S
109413,112022,-5,-5,4,5284,10812,-10901,S
109495,112006,-2,-5,1,5457,10771,-10939,S
109577,112025,-1,-10,2,5198,10718,-10890,S
109659,112047,-1,-9,-3,5118,10825,-10995,S
109756,111987,-6,-7,2,5298,10813,-11132,S
109838,111962,-3,0,0,5374,10946,-11060,S
109920,111979,-5,-6,-1,5295,10882,-11031,S
110002,112021,-6,0,3,5268,10919,-10863,S
110101,112033,-1,-5,-2,5272,10760,-11225,S
110183,112076,-6,-4,-5,5198,10716,-11064,S
110265,112098,-15,4,-8,5252,10807,-10956,S
110362,112099,-2,-2,-3,5384,10812,-11033,S
110444,112081,-4,-2,-4,5433,10705,-11062,S
110526,112104,3,-7,-7,5228,10720,-11045,S
110608,112131,1,-5,0,5305,10762,-11000,S
110705,112149,-1,-4,4,5270,10868,-11093,S
110787,112038,-4,-12,-1,5276,10827,-10897,S
110869,112049,-2,-6,2,5270,10789,-10964,S
110951,112076,-11,-4,2,5198,10779,-10966,S
111050,112073,-3,-16,-1,5171,10666,-11166,S
111132,112088,0,-6,0,5285,10703,-10990,S
111214,112071,-4,-9,1,5374,10730,-10885,S
111311,112109,0,-10,-1,5432,10788,-11088,S
111393,112103,-3,-7,-6,5202,10805,-11070,S
111475,112117,-5,0,-8,5312,10805,-11097,S
111557,112124,-5,1,-3,5245,10763,-10935,S
111654,112054,-5,-9,-1,5258,10846,-11035,S
111736,112044,-2,-6,4,5257,10653,-10983,S
