time_ms,ir,ax,ay,az,gx,gy,gz,label
49145,122202,0,-13,29,3850,-9950,-12545,R
49244,122244,-17,17,-5,3946,-10364,-12749,R
49326,122337,-2,29,-35,3508,-10109,-12741,R
49408,122394,-50,22,-22,3474,-9881,-12600,R
49505,122464,-35,35,-1,3968,-9688,-12455,R
49587,122271,-3,26,10,3999,-10126,-12408,R
49669,121540,16,-33,14,4128,-10148,-12676,R
49751,121678,-1,5,-1,4027,-10267,-12920,R
49848,121965,-10,-18,-9,3810,-10099,-12546,R
49930,122075,14,-57,15,3968,-9911,-12699,R
50012,122143,7,-42,15,3834,-10144,-12636,R
50094,122299,-10,-26,-4,3688,-10072,-12881,R
50176,122358,-11,24,4,3583,-10141,-12694,R
50273,122012,14,32,33,3925,-10033,-12557,R
50355,121362,-15,5,6,3840,-10347,-12765,R
50437,121514,-8,8,-17,3777,-10002,-12569,R
50519,121889,-10,-14,9,3822,-9925,-12638,R
50616,122006,-6,-3,-1,3925,-10211,-12627,R
50698,122095,6,7,-20,3831,-10091,-12551,R
50780,122118,0,-8,15,3628,-10105,-12710,R
50862,122152,-1,14,-9,3863,-10165,-12843,R
50959,122197,-5,-9,4,3928,-10138,-12623,R
51041,120931,-5,-4,-8,3873,-9896,-12519,R
51123,120859,-15,21,-1,4020,-10174,-12679,R
51205,120907,-8,2,-5,3886,-10160,-12558,R
51304,121430,1,-15,1,3775,-10024,-12608,R
51386,121492,4,4,-15,3907,-10112,-12702,R
51468,121766,-3,11,4,3856,-10027,-12639,R
51565,121954,30,-24,-1,3861,-10087,-12771,R
51647,122023,5,2,5,3875,-10136,-12674,R
51729,122108,4,16,1,4056,-10217,-12718,R
51811,122204,3,-1,5,3904,-9979,-12646,R
51908,121199,14,-13,-2,4088,-10164,-12554,R
51990,120882,3,-12,-11,4032,-10230,-12651,R
52072,120853,-7,-10,2,3805,-10205,-12638,R
52154,121328,-12,-14,3,4018,-10216,-12609,R
52236,121517,0,4,-8,4003,-10081,-12561,R
52333,121722,12,-2,-3,3934,-10143,-12604,R
52415,121935,23,-12,10,3800,-10202,-12438,R
52497,122020,9,-7,0,3872,-10086,-12776,R
52579,122113,1,4,14,3902,-10152,-12663,R
52676,122167,-8,-25,3,3862,-10208,-12623,R
52758,122283,3,-18,-5,4040,-10158,-12655,R
52840,122325,10,-18,7,3887,-10150,-12584,R
52922,121658,7,-24,3,3862,-10071,-12510,R
53019,121208,-13,0,2,3954,-10254,-12830,R
53101,121269,-2,8,-3,3936,-10207,-12532,R
53183,121762,-19,-8,9,3830,-10163,-12534,R
53265,121845,-12,-12,2,3889,-10154,-12681,R
53364,121984,-16,-9,0,3765,-9967,-12692,R
53446,122163,-26,-21,0,3815,-10173,-12594,R
53528,122214,-25,-2,4,3900,-10099,-12722,R
53625,122274,12,-3,10,3802,-9914,-12444,R
53707,122320,10,-5,7,3792,-10019,-12625,R
53789,122167,4,-13,15,3927,-9981,-12749,R
53871,121239,0,14,-11,3809,-10185,-12670,R
53968,121603,14,2,-2,3744,-10164,-12569,R
54050,121920,3,-2,3,3848,-10169,-12538,R
54132,121982,4,0,7,3803,-10209,-12678,R
