time_ms,ir,ax,ay,az,gx,gy,gz,label
393423,116257,44,-109,-511,2099,-2634,17085,W
393505,116590,-187,4,-463,1976,-2172,18845,W
393587,115908,165,389,-491,-1823,-2726,19552,W
393669,115567,-178,143,-566,-380,-1848,15119,W
393766,115557,87,345,-668,-97,-1293,17763,W
393848,115566,-157,140,-648,508,-1413,15907,W
393930,115650,-261,99,-723,1167,-1627,15391,W
394012,115662,-70,142,-850,794,-1457,16086,W
394109,115940,-206,-50,-893,395,-2551,16855,W
394191,116151,-127,132,-973,582,-2859,18141,W
394273,115971,79,73,-815,132,-3295,16031,W
394355,115959,-109,-94,-818,1384,-3664,15343,W
394437,115975,141,40,-758,1421,-3856,14116,W
394535,116051,132,60,-671,2655,-3725,14462,W
394617,116067,-4,61,-559,2753,-3994,15419,W
394699,116035,29,-22,-564,2376,-4206,16324,W
394796,115730,-88,-117,-707,3710,-3011,18682,W
394878,116121,285,-11,-617,768,-2368,17537,W
394960,116245,-151,-36,-442,1725,-2409,15470,W
395042,116186,-169,206,-463,251,-2199,17922,W
395141,115858,-398,89,-738,977,-2419,15102,W
395223,116168,-204,179,-855,1920,-1744,15098,W
395305,116079,-277,98,-1001,1971,-1727,15575,W
395402,116046,-125,131,-1108,2179,-2275,16876,W
395484,116049,-192,384,-1026,2850,-2773,19233,W
395566,115758,-309,260,-912,2139,-3379,17478,W
395648,115723,-110,-5,-756,2184,-3179,15097,W
395745,115522,161,113,-468,2002,-3976,14582,W
395827,115551,-24,-35,-359,2670,-3467,13817,W
395909,115617,34,-16,-352,3130,-3692,14997,W
395991,115640,77,-4,-248,3440,-3830,15136,W
396073,115625,313,-51,-313,2840,-3107,17096,W
396170,115711,329,162,-427,2403,-3120,20259,W
396251,115777,259,79,-279,1461,-3274,16976,W
396333,115842,-246,41,-31,2105,-2490,15684,W
396415,115818,-134,219,-102,-216,-1972,17325,W
396497,115698,-336,108,-346,743,-2041,15393,W
396594,115376,-153,45,-483,1570,-1991,15536,W
396676,115500,-143,24,-587,1533,-2746,16902,W
396758,115568,-348,57,-619,939,-3808,18129,W
396840,115665,-172,398,-804,124,-4353,19188,W
396937,115729,-306,-25,-955,1665,-3866,13865,W
397019,115873,101,72,-907,1908,-3137,13998,W
397100,115883,116,27,-727,3085,-3139,12506,W
397181,115949,197,-39,-602,4584,-4015,13146,W
397263,116008,207,-91,-573,4946,-5459,17136,W
397345,116109,360,-238,-661,2249,-4767,18944,W
397442,116165,416,-61,-745,1008,-4177,19395,W
397524,115505,-429,113,-807,1219,-2969,18209,W
397606,115534,-135,171,-884,229,-3216,14408,W
397688,115378,-586,112,-841,1237,-3273,13399,W
397785,115602,-317,223,-1049,1889,-2269,15520,W
397867,115779,-198,422,-1052,1310,-3694,19427,W
397949,116009,-702,283,-997,2701,-3373,16327,W
398031,116279,195,275,-1110,1056,-4357,17156,W
398113,116227,-27,223,-1151,822,-4385,17399,W
398210,115766,-83,-167,-1141,2413,-3418,11784,W
398292,115735,206,-247,-1024,2816,-4292,12763,W
398374,115582,12,-109,-776,4555,-4761,14436,W
398456,116320,290,151,-836,3695,-3922,18694,W
398553,116623,131,131,-1051,3249,-3195,22108,W
398635,116607,-424,-28,-1063,1962,-1918,17261,W
398717,116477,-243,287,-778,1747,-2531,15147,W
398799,116309,-489,229,-633,1664,-3881,13223,W
398896,116413,-449,120,-876,2774,-2590,14879,W
398978,116381,-208,225,-1006,2919,-2870,17054,W
399060,116165,-407,432,-811,2419,-3868,17387,W
399142,115930,-44,472,-852,895,-5181,18770,W
399241,116188,-200,164,-1243,-802,-4684,17400,W
399323,115815,-72,-64,-1161,1026,-4291,10224,W
399405,115852,229,-146,-1078,2408,-4045,12235,W
399502,116116,16,-2,-784,4300,-5468,16126,W
399584,115952,430,58,-743,1751,-6032,17986,W
399666,116226,138,53,-808,1080,-4720,21095,W
399748,116221,-400,175,-1009,1268,-2793,19488,W
399845,115934,-348,96,-839,688,-3410,13248,W
399927,115632,-458,-96,-744,1099,-2705,11652,W
400009,115596,-13,196,-934,2720,-2474,15452,W
400091,116154,114,428,-1080,1275,-3459,18991,W
400173,116838,-395,373,-1145,1919,-4336,16580,W
400270,116384,-214,301,-1460,2499,-3750,16122,W
400352,116234,174,134,-1505,412,-3896,14255,W
400434,116734,151,-209,-1506,2149,-3205,11704,W
400516,116734,30,-179,-1410,3446,-3731,13224,W
400613,115925,-25,179,-862,3618,-5138,17548,W
400695,115595,-16,116,-874,3168,-3572,19748,W
400777,115129,-96,20,-1144,1210,-3158,16874,W
400859,115306,-210,251,-986,1522,-2591,19003,W
400956,115796,-635,84,-733,1895,-2818,12352,W
401038,115347,-447,44,-778,1836,-2405,12377,W
401120,115459,-73,171,-1045,1798,-2874,14091,W
401202,115530,7,560,-1079,1115,-4755,18248,W
401301,116024,-758,851,-997,1818,-4909,21350,W
401383,115566,-104,389,-1060,623,-5316,16293,W
401465,115171,183,234,-1106,-1677,-4636,15080,W
401562,115616,-103,-108,-1192,1460,-4251,11714,W
401644,115984,370,-76,-1012,2492,-5851,13344,W
401726,116242,141,82,-768,3696,-6571,17259,W
401808,116237,126,89,-735,2686,-4231,18607,W
401905,116479,-103,22,-939,-151,-3694,18055,W
401987,116337,112,135,-928,-638,-3119,17158,W
402069,116269,-596,-76,-752,-635,-4082,12866,W
402151,115910,-568,-48,-767,767,-3017,12052,W
402233,115885,-181,186,-941,1681,-3284,14335,W
402330,116097,-100,542,-975,384,-5044,18724,W
402412,116306,-403,723,-1030,923,-5921,20332,W
402494,116953,129,308,-1309,-180,-5564,17351,W
402576,117327,399,164,-1503,-1306,-4515,13482,W
402673,116589,40,-169,-1435,1333,-3215,11475,W
402755,116579,125,-137,-1250,2848,-4692,14182,W
402837,116573,159,46,-926,3001,-5982,17977,W
402919,116323,90,53,-912,2549,-3951,20319,W
403016,116227,-376,-32,-1119,810,-3374,17440,W
403098,116272,111,264,-1002,-213,-3692,17291,W
403180,116195,-702,97,-914,819,-4268,12445,W
403262,115952,-469,141,-983,1416,-3598,12224,W
403361,115822,-33,374,-1165,1623,-3314,16828,W
403443,115981,-143,573,-1073,527,-4963,17615,W
403525,116043,-213,795,-1172,-912,-5989,21951,W
403622,115822,22,320,-1259,-1845,-6216,16552,W
403704,115222,-136,-23,-1427,371,-4354,10673,W
403786,115416,147,-26,-1355,2270,-3949,12661,W
403868,115690,282,120,-1042,3037,-5326,15373,W
403965,116015,71,45,-775,2183,-5751,17821,W
404047,116120,-83,157,-951,-1214,-5321,20564,W
404129,116535,-247,136,-1000,416,-4620,18098,W
404211,116663,-472,-8,-815,-552,-3936,12447,W
404293,116493,-402,100,-944,-259,-3499,12444,W
404390,116742,-96,357,-1098,1069,-3670,15869,W
404472,115780,176,610,-1131,266,-4626,18267,W
404554,116448,-708,676,-1103,920,-4078,15246,W
404636,116691,59,694,-1020,-1796,-5394,17662,W
404733,115863,317,478,-997,-2893,-6405,16836,W
404815,115387,38,-5,-1258,963,-5150,11573,W
404897,115322,443,-180,-1051,1945,-5322,13301,W
404979,115236,215,-130,-734,1758,-5565,17374,W
405076,115220,392,-160,-726,1054,-4934,17066,W
405158,115323,142,68,-913,-898,-4940,18286,W
405240,115464,-152,8,-890,-950,-3686,17997,W
405322,114968,-284,-8,-813,-263,-4197,13189,W
405421,115203,-376,-8,-954,760,-3157,11396,W
405503,115262,-152,461,-1007,1133,-3383,15069,W
405585,115297,158,822,-900,-186,-4547,18694,W
405682,115399,-442,1013,-1048,-1329,-5713,21730,W
405764,115623,-22,606,-984,-3795,-5537,18261,W
405846,115534,-266,356,-1184,-1278,-4190,12358,W
405928,115516,382,107,-1242,-108,-4413,11663,W
406027,115354,411,-40,-1097,-329,-5827,13727,W
406109,114995,296,87,-765,-1363,-6997,18218,W
406191,115480,90,399,-776,-2258,-6367,21730,W
406288,115613,-342,182,-986,-3204,-4409,18664,W
406370,115416,109,151,-1128,-3406,-4298,13079,W
406452,115458,-348,32,-1145,-1552,-5329,11700,W
406534,115540,24,-14,-1289,-1330,-4715,14599,W
406631,115736,12,411,-1278,-2762,-5443,19029,W
406713,115745,-171,690,-1400,-2034,-5663,20042,W
406795,115583,353,505,-1537,-2769,-5743,15848,W
406877,115304,536,439,-1653,-2041,-5693,11825,W
406976,115335,475,-40,-1826,-378,-4738,12462,W
