time_ms,ir,ax,ay,az,gx,gy,gz,label
3301782,127819,191,639,-553,-1846,-4073,-3775,M
3301864,128593,120,436,-1683,-10341,-15461,-5090,M
3301963,129339,138,-314,305,-12800,-31762,-9405,M
3302045,128396,-739,-498,1789,-11897,-22809,-7819,M
3302127,128075,573,-346,99,6192,-1034,-1445,M
3302224,128692,260,-202,-162,849,-1389,-182,M
3302306,128819,-401,201,-426,-1542,-2482,-3057,M
3302388,128697,307,329,-1329,-7213,-11104,-3542,M
3302470,129089,-1039,282,-843,-21820,-32768,-8697,M
3302567,129628,-317,-233,1809,-15226,-22019,-8330,M
3302649,128125,1011,-200,158,3691,897,-3760,M
3302731,128241,209,167,399,350,-2080,1030,M
3302813,128165,100,326,-71,159,-3469,-2127,M
3302912,128231,-126,590,-1126,-3751,-8866,-3706,M
3302994,128741,-424,306,-1243,-21914,-32768,-13820,M
3303076,130121,1087,-636,1626,-17624,-32768,-7252,M
3303173,128275,1848,-454,761,508,-3729,-550,M
3303255,128420,-161,77,192,-1333,-3725,-495,M
3303337,128511,337,25,-359,-736,-4205,-2912,M
3303419,129109,-161,131,-965,-1568,-3606,-2532,M
3303516,130016,-68,-75,-1194,-19113,-32768,-8239,M
3303598,130604,1592,-855,804,-11827,-32768,-3951,M
3303680,129008,-1482,-137,890,-7205,-17800,-2355,M
3303762,127907,75,14,-189,-2143,3692,-2888,M
3303844,128173,-155,192,-414,665,-2537,64,M
3303941,128386,-92,450,-674,-2765,-7455,-6060,M
3304023,129057,-282,188,-484,-17257,-32768,-9968,M
3304105,129546,653,-380,1308,-11811,-32768,-5233,M
3304187,128080,-143,-112,918,-885,-11279,-1694,M
3304284,128493,-3,74,304,-2253,-5413,-1914,M
3304366,127927,214,135,-503,-1413,-4197,-3658,M
3304448,127991,60,159,-1520,-2025,-8691,-3368,M
3304530,128754,292,-436,-1330,-12708,-32768,-4148,M
3304627,129745,819,-453,1532,-8573,-27269,-2397,M
3304709,128532,-633,126,1324,-2829,-8494,-3318,M
3304791,127987,631,283,442,-2055,-3570,-4076,M
3304873,127462,383,412,-188,263,-4030,-1822,M
3304970,128041,46,201,-1104,-3874,-11250,-2333,M
3305052,128491,-286,-351,-818,-17485,-32768,-10802,M
3305134,128916,1515,-471,1169,-16371,-32768,-4873,M
3305216,127177,-670,80,409,-212,-10084,-3492,M
3305315,127890,-9,95,-174,-876,-4246,-340,M
3305397,128142,345,-221,-656,-1013,-2457,-933,M
3305479,128368,-400,-186,-1118,-2814,-9898,-3825,M
3305576,128646,-548,-134,-760,-14120,-31641,-9819,M
3305658,129730,1360,-856,1536,-9668,-20667,-3308,M
3305740,128761,-872,-95,967,899,-5783,540,M
3305822,127923,550,222,521,-2068,-5206,-3251,M
3305919,127524,366,302,-579,-2470,-5083,-2323,M
3306001,127818,-54,-47,-1428,-7304,-12269,-2675,M
3306083,128048,-666,-339,-757,-19839,-32768,-10913,M
3306165,129368,943,-623,1592,-12783,-26876,-6436,M
3306264,127934,401,-54,317,3654,-2027,95,M
3306345,128745,218,154,328,463,-3576,64,M
3306426,127794,172,241,-358,-930,-3884,-2809,M
3306508,127875,213,231,-1099,-5286,-11545,-3588,M
3306590,128240,-456,-149,-1045,-19461,-32768,-9772,M
3306687,128828,1339,-499,1253,-10472,-21196,-4123,M
3306769,128767,-353,-18,477,1402,-6984,-583,M
3306851,127317,455,177,326,473,-1940,-2926,M
3306932,127068,116,322,-135,-1328,-4969,-1040,M
3307014,127976,214,256,-978,-4423,-9686,-3254,M
3307112,128661,-284,-280,-1158,-23173,-32768,-5768,M
3307194,130073,963,-901,1180,-12410,-24275,-3028,M
3307276,128967,-135,-255,565,1645,-5669,-947,M
3307373,128577,141,79,39,-858,-2871,-1101,M
3307455,128039,710,-37,-695,-2248,-5044,522,M
3307536,128596,-43,-311,-1308,-3948,-8146,-2084,M
3307618,129277,-438,-451,-976,-18495,-32768,-4472,M
3307700,130260,1031,-387,1312,-12847,-32768,1795,M
3307781,129832,-1452,299,1080,-3930,-12325,-3324,M
3307862,129268,1021,55,141,-1095,-1552,-1710,M
3307959,128816,206,483,40,-213,-3896,1321,M
3308040,128872,286,381,-664,-2193,-5776,-1440,M
3308122,129370,-420,-106,-501,-13557,-32768,-2201,M
3308204,129575,-28,-423,1004,-17851,-32768,-4465,M
3308286,128789,-598,146,1233,-6804,-15852,-6216,M
3308383,128543,534,18,52,-3022,-5664,-1537,M
3308465,128751,14,116,-176,-605,-4126,1084,M
3308547,129115,354,-84,-887,-2994,-7011,-982,M
3308629,129205,-959,-212,-1060,-16101,-27117,-2952,M
3308726,129931,-37,-481,824,-16274,-32768,-901,M
3308808,128884,-462,65,1661,-6889,-16050,-4694,M
3308890,128205,880,342,27,-1370,-5569,756,M
3308972,128578,-577,656,-266,-982,-3192,262,M
3309069,128447,596,267,-728,-1920,-2947,-881,M
3309151,128719,-604,-253,-315,-15869,-21053,-1077,M
3309233,128632,-835,-132,504,-21446,-32768,-4585,M
3309315,128697,537,-223,1675,-8187,-15439,-4611,M
3309414,127667,760,-299,310,1655,-3757,-1229,M
3309496,127879,-408,80,-140,-1202,-4880,232,M
3309577,127937,20,-9,-833,-2678,-5110,-1654,M
3309659,128067,-515,-379,-1378,-11051,-13865,-1891,M
3309756,128635,-238,-768,87,-20845,-32768,-1736,M
3309838,128461,98,-54,1494,-11198,-18557,-2556,M
3309920,128398,640,137,387,2435,1021,443,M
3310002,128484,119,183,482,-1634,-2089,852,M
3310099,127831,254,138,-317,-2001,-3815,-1193,M
3310181,127713,96,3,-1178,-8781,-14765,-228,M
3310263,128202,-252,-215,-458,-22004,-32768,-1162,M
3310345,128678,255,-252,1401,-16938,-24109,-4099,M
3310442,127936,587,-74,152,954,-1469,-135,M
3310524,128482,-128,-115,83,81,-2223,1538,M
3310605,128315,117,65,-229,-1583,-2202,124,M
3310687,128268,190,-245,-803,-9129,-10215,-2736,M
3310769,128393,74,-131,-1362,-23710,-32768,-2673,M
3310868,129263,1082,-187,1175,-14731,-23492,1655,M
3310950,128877,545,336,333,138,-5373,2372,M
3311032,128611,116,373,190,-1744,-2350,-287,M
3311129,128059,663,22,-362,-1587,-3278,324,M
3311211,128357,-47,-193,-865,-5924,-6593,-865,M
3311293,128590,118,-42,-785,-23834,-32768,295,M
3311375,130088,1018,-62,1532,-19914,-32768,4511,M
3311472,128595,292,74,397,-889,-6498,1302,M
3311554,128563,-103,4,-85,-2427,-3481,-649,M
3311636,128272,3,167,-692,-1869,-5652,416,M
3311717,129396,780,28,-1569,-5806,-8579,-156,M
3311799,130280,-441,-340,-1472,-16243,-31682,3416,M
3311896,130726,616,-451,1270,-14756,-32692,4049,M
3311977,129660,-429,466,658,-1705,-10192,-615,M
3312059,128847,58,269,301,-1686,157,-1099,M
3312141,128579,78,135,88,-1192,-4413,229,M
3312223,129097,-136,299,-248,-2268,-4280,-2795,M
3312322,129306,-460,777,-887,-23831,-32103,-2625,M
3312404,130299,501,-193,1315,-18966,-32768,6221,M
3312485,129532,-1223,422,1659,-9125,-16096,-90,M
3312567,128437,977,86,-28,-2065,-4014,-514,M
3312664,129092,-108,7,-481,-1060,-5230,-237,M
3312746,129281,51,-115,-1237,-2070,-6991,-2265,M
3312828,129522,-1007,-557,-934,-17186,-29730,253,M
3312910,130036,-325,-34,643,-17533,-32768,4025,M
3313007,129437,-1129,318,1256,-6530,-15696,-2597,M
3313089,128680,719,-44,59,-2519,594,-999,M
3313171,128873,-627,248,71,-1963,-3309,1799,M
3313253,128663,306,13,-527,-1494,-3184,-1549,M
3313352,128918,-1018,278,-923,-21126,-31067,3803,M
3313433,129893,692,-235,1141,-20269,-32768,4998,M
3313515,129084,-654,335,1239,-8432,-14170,-291,M
3313597,128603,638,52,-251,-2132,-4368,322,M
3313694,129132,-22,-173,-334,174,-1764,1334,M
3313776,129355,175,-362,-510,-2165,-3321,-1153,M
3313858,129310,-203,-186,-517,-16706,-22889,3835,M
3313940,130109,529,46,918,-20407,-32768,7547,M
3314037,129561,-304,582,1102,-6284,-11796,2331,M
3314119,128808,488,303,-353,-1372,-1359,599,M
3314201,128790,237,76,-259,-752,-2029,1119,M
3314283,128861,121,-85,-656,-3610,-6006,-648,M
3314380,129217,-637,-163,-879,-21216,-30344,5883,M
3314462,130014,314,-188,1128,-18380,-32768,7191,M
3314544,129300,-61,346,1089,-6936,-14365,1869,M
3314626,128251,320,235,-260,-48,-2400,266,M
3314708,128471,-219,4,-437,-1504,-4022,934,M
3314805,128280,162,-256,-1198,-6754,-10474,-2147,M
3314887,128692,-364,-313,-644,-13143,-21057,4618,M
3314969,128918,943,-195,1103,-13807,-22513,5400,M
3315051,128722,632,181,817,-9889,-19026,3672,M
3315132,128558,664,-206,-585,-8367,-14429,1888,M
3315229,128524,-366,-274,-893,-5900,-9979,1924,M
3315311,128726,-79,100,518,-6242,-5975,-170,M
3315393,127937,-49,992,1419,-12344,-13565,-2804,M
3315475,126887,1916,1879,414,-14858,-16591,-2990,M
3315572,127235,979,2012,-447,-14922,-16215,56,M
3315654,127636,-324,1440,-1046,-12064,-16407,4080,M
3315736,127971,-89,962,-1628,-10281,-15295,4227,M
3315818,127827,-125,868,-1617,-9777,-16058,2544,M
3315915,128067,71,387,-1220,-5084,-10684,1915,M
3315997,128036,4,-71,-382,-4131,-9695,2413,M
3316079,128073,175,-445,474,-4965,-8525,2250,M
3316161,128130,204,-838,1227,-6465,-9767,3887,M
3316260,128212,-492,-1069,1595,-8760,-15768,3786,M
3316342,128263,-273,-1250,1329,-11587,-16615,1868,M
3316424,128446,-1117,-1703,1014,-11939,-14537,-1213,M
3316521,128125,-1127,-1851,724,-13035,-12024,-5783,M
3316603,127509,-786,-1087,224,-13546,-13538,-4808,M
3316685,127254,228,-28,51,-13817,-11670,-4348,M
3316767,127087,1574,723,-42,-15910,-11058,-3936,M
3316864,127015,1853,1478,-909,-15152,-13783,-2900,M
3316946,127429,1355,1628,-1610,-13549,-15840,605,M
3317028,127754,-643,1498,-1650,-8820,-14208,5524,M
3317110,127721,-94,1062,-1392,-5928,-12759,6480,M
3317209,127878,-481,481,-709,-5722,-10762,4549,M
3317291,127748,474,-64,-208,-5195,-11103,3651,M
3317373,127859,-289,-261,488,-6050,-10320,2678,M
3317470,127832,129,-739,1043,-7642,-11490,2123,M
3317552,127694,-149,-952,1044,-8422,-14672,2036,M
3317634,127456,252,-1216,839,-9768,-17584,1632,M
3317716,127194,-568,-1137,726,-10693,-17624,2135,M
3317813,127053,-807,-1096,474,-11070,-15104,562,M
3317895,127357,-639,-935,299,-10052,-12406,-84,M
3317977,127317,-105,-706,122,-10643,-13629,1089,M
3318059,127300,-269,-349,107,-10144,-12804,1991,M
3318158,127300,-64,-61,116,-10837,-12290,2220,M
3318240,127378,32,163,232,-11403,-12956,3501,M
3318322,127391,102,152,80,-9935,-11727,2300,M
3318419,127436,6,324,103,-11261,-12309,3043,M
3318501,127415,409,380,-12,-11729,-11728,3333,M
3318583,127583,311,275,-94,-11238,-11101,2824,M
3318665,127725,45,178,-61,-10931,-10938,2307,M
3318762,127659,181,103,78,-11572,-10901,2254,M
3318844,127561,136,186,102,-11545,-11502,1768,M
3318926,127540,265,154,75,-11602,-11883,1694,M
3319007,127583,36,55,103,-11420,-11787,2039,M
3319088,127550,-122,-2,4,-11371,-10939,2332,M
3319170,127451,-52,-15,47,-11956,-10999,2642,M
3319267,127496,-60,-49,95,-11857,-11117,2182,M
3319349,127404,-106,-40,64,-11477,-11171,1667,M
3319431,127360,-76,87,-35,-12167,-11077,1946,M
3319513,127295,146,205,-57,-12611,-10939,1821,M
3319610,127263,149,195,-93,-11989,-10527,1352,M
3319692,127245,46,214,-58,-11935,-10640,1677,M
3319774,127153,239,269,-8,-12613,-11168,2052,M
3319856,127165,217,192,-90,-11490,-11104,1866,M
3319955,127127,65,75,-181,-10710,-11917,1984,M
3320037,127133,12,56,-152,-10775,-12159,2081,M
3320119,127052,-39,40,-141,-10891,-12084,1874,M
3320216,127034,-157,20,-159,-10714,-11673,1213,M
3320298,127091,-261,54,-63,-10860,-11642,983,M
3320380,127083,-244,75,-72,-11470,-12560,933,M
3320462,127068,-147,56,-194,-11040,-11642,313,M
3320559,127038,156,35,-22,-10725,-11984,373,M
